id,symbol,name,current_price,market_cap,total_volume,timestamp
bitcoin,btc,Bitcoin,85370.0,1694898656469,28286443151,2025-04-15 00:06:59.328765
ethereum,eth,Ethereum,1638.41,197794920784,14441480157,2025-04-15 00:06:59.328765
tether,usdt,Tether,0.999831,144319322775,47396957445,2025-04-15 00:06:59.328765
ripple,xrp,XRP,2.15,125590555344,2692182528,2025-04-15 00:06:59.328765
binancecoin,bnb,BNB,587.3,85675095483,495506353,2025-04-15 00:06:59.328765
solana,sol,Solana,130.52,67420595583,4448102522,2025-04-15 00:06:59.328765
usd-coin,usdc,USDC,0.999979,60203714009,7801493687,2025-04-15 00:06:59.328765
tron,trx,TRON,0.2534,24069854883,773731861,2025-04-15 00:06:59.328765
dogecoin,doge,Dogecoin,0.160728,23936613100,908567329,2025-04-15 00:06:59.328765
cardano,ada,Cardano,0.64382,23184223625,660981984,2025-04-15 00:06:59.328765
